nct_id,brief_title,search_condition,conditions,sponsor,sponsor_class,enrollment_count,num_arms,total_sites,num_countries,start_date,completion_date,has_participant_flow,total_started,total_completed,total_discontinued,dropout_rate,discontinuation_reasons,top_dropout_reason,top_dropout_reason_count,num_periods
NCT00518882,Effect of Liraglutide or Exenatide Added to an Ongoing Treatment on Blood Glucose Control in Subjects With Type 2 Diabetes,diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,467,2,125,16,2007-08,2009-04,True,467,299,168,36.0,Adverse Event (66); Completed extension 1 (weeks 26-40) (43); Protocol Violation (14); Lack of Efficacy (12); Lost to follow up (5); Subject decision (4); Withdrawal of consent (4); Hypoglycaemia (3); Withdrawel criteria (3); Consent withdrawn (3); Withdrawal criteria (2); Change in treatment (2); Exclusion criteria (2); Loss of trust (1); Fear of hypoglycaemia (1); Mutual consent (1); Creatine increased (1); Decreased kidney function (1),Adverse Event,66.0,2
NCT00082628,Treatment of Abnormal Adipose Tissue Accumulation in Human Immunodeficiency Virus (HIV) Patients,metabolic syndrome,HIV Infections; Lipodystrophy,EMD Serono,INDUSTRY,326,5,31,2,2004-05-28,2005-09-28,True,326,209,117,35.9,Subjects Did Not Complete Week 12 (48); Subjects Did Not Complete Week 36 (47); Did not continue to Period II (16); Subjects Without Post-Baseline Assessmen (3); Subjects Did Not Receive Study Drug (1); Lost to Follow-up (1); Withdrawal by Subject (1),Subjects Did Not Complete Week 12,48.0,2
NCT01237223,Efficacy and Safety of SPA100 (Fixed-dose Combination of Aliskiren/Amlodipine) in Patients With Essential Hypertension,cardiovascular disease,Essential Hypertension,Novartis,INDUSTRY,1342,6,11,1,2010-10,2011-05,True,1342,867,475,35.4,Abnormal test procedure result(s) (308); Adverse Event (53); Unsatisfactory therapeutic effect (35); Subject withdrew consent (28); Abnormal laboratory value(s) (25); Protocol deviation(s) (14); Withdrawal by Subject (11); Administrative problems (1),Abnormal test procedure result(s),308.0,2
NCT02851407,Study Comparing Efficacy and Safety of Defibrotide vs Best Supportive Care in the Prevention of Hepatic Veno-Occlusive Disease in Adult and Pediatric Patients,cardiovascular disease,Veno-occlusive Disease,Jazz Pharmaceuticals,INDUSTRY,372,2,114,14,2016-09-01,2020-10-20,True,372,241,131,35.2,"Other Death (50); Disease relapse (15); Adverse event, serious fatal (14); Physician Decision (13); Adverse event, non-fatal (12); Withdrawal by parent/guardian (9); Consent withdrawn by participant (8); Screen failure (3); Lost to Follow-up (2); Protocol deviation (1); Transferred to another hospital to continue (1); Transferred to hospital closer to home (1); Enrolled in an investigational study (1); Early recovery (1)",Other Death,50.0,1
NCT00225277,Efficacy Study of Pioglitazone Compared to Glimepiride on Coronary Atherosclerotic Disease Progression in Subjects With Type 2 Diabetes Mellitus,diabetes type 2,Diabetes Mellitus,Takeda,INDUSTRY,547,2,79,4,2003-07,2007-10,True,547,355,192,35.1,Withdrawal by Subject (74); Adverse Event (64); Other (16); Physician Decision (14); Lost to Follow-up (10); Protocol Violation (9); Lack of Efficacy (5),Withdrawal by Subject,74.0,1
NCT00403767,An Efficacy and Safety Study of Rivaroxaban With Warfarin for the Prevention of Stroke and Non-Central Nervous System Systemic Embolism in Patients With Non-Valvular Atrial Fibrillation,cardiovascular disease,Atrial Fibrillation; Stroke; Embolism,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,14269,2,932,44,2006-12,2010-09,True,14236,9248,4988,35.0,Adverse Event (1912); Consent withdrawn (1344); Clinical efficacy endpoint reached (632); Investigator dec./not protocol-related (369); Non-compliant with study medication (298); Protocol Violation (266); Study terminated by sponsor (151); Lost to Follow-up (14); Missing/incomplete data (2),Adverse Event,1912.0,1
NCT00482729,MK0431A Comparative Study in Patients With Type 2 Diabetes (0431A-079)(COMPLETED),diabetes type 2,Type 2 Diabetes Mellitus,Merck Sharp & Dohme LLC,INDUSTRY,1246,2,0,0,2007-06-19,2009-04-27,True,1250,815,435,34.8,Lost to Follow-up (152); Withdrawal by Subject (136); Adverse Event (62); Protocol Violation (28); Lack of Efficacy (20); Physician Decision (17); Hyperglycemia Criteria (12); Pregnancy (6); Creatinine/Creatinine Clearance Criteria (2),Lost to Follow-up,152.0,1
NCT00853658,Efficacy and Safety of Aliskiren and Aliskiren/Enalapril Combination on Morbidity-mortality in Patients With Chronic Heart Failure,heart failure,Chronic Heart Failure,Novartis Pharmaceuticals,INDUSTRY,7064,3,806,44,2009-03,2015-10,True,7064,4630,2434,34.5,Death (2234); H.A. Request (68); Patient's request (49); Lost to Follow-up (28); Vital Status at study end N/A (28); Missing study completion information (15); Vital Status known (alive) at study end (8); IRB request (2); Vital Status unknown at study end (2),Death,2234.0,1
NCT00432276,Efficacy of Alogliptin and Pioglitazone in Subjects With Type 2 Diabetes Mellitus,diabetes type 2,Diabetes Mellitus,Takeda,INDUSTRY,803,2,86,1,2007-01,2009-06,True,803,526,277,34.5,Hyperglycemic Rescue (131); Protocol Violation (45); Withdrawal by Subject (45); Adverse Event (29); Physician Decision (14); Lost to Follow-up (8); Other (5),Hyperglycemic Rescue,131.0,1
NCT00249873,Atrial Fibrillation Clopidogrel Trial With Irbesartan for Prevention of Vascular Events (ACTIVE A),cardiovascular disease,Atrial Fibrillation; Vascular Risk,Sanofi,INDUSTRY,7554,2,30,30,2003-06,2009-03,True,7554,4970,2584,34.2,Withdrawal by Subject (970); Oral anticoagulant required (316); Other non serious Adverse Event (220); Thromboembolic/outcome event (204); Other Serious Adverse Event (183); Minor bleeding (136); Physician withdrew consent (119); Serious haemorrhagic Adverse Event (104); Non-compliance (87); Open label clopidogrel required (73); Qualifying condition not present (43); Event related to cardiac condition (33); Surgery/ procedure (18); Significant thrombocytopenia (17); Not treated (15); Contraindication to oral anticoagulant (12); Lost to Follow-up (11); Severe allergic reaction (9); Patient not wish to continue after May08 (7); Study drug intolerance (5); Other contraindicated medication (1); Angiotensin II receptor blocker required (1),Withdrawal by Subject,970.0,1
NCT04520256,Rapid Evaluation of Innovative Intervention Components to Maximize the Health Benefits of Behavioral Obesity Treatment Delivered Online: An Application of Multiphase Optimization Strategy,obesity,Overweight and Obesity,The Miriam Hospital,OTHER,384,32,1,1,2020-09-22,2023-05-18,True,384,253,131,34.1,Lost to Follow-up (131),Lost to Follow-up,131.0,1
NCT00715624,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Basal Insulin",diabetes type 2,"Diabetes Mellitus, Type 2",Sanofi,INDUSTRY,496,2,15,15,2008-07,2011-02,True,496,328,168,33.9,Adverse Event (49); Withdrawal by Subject (36); Familial and personal reasons (32); Lack of Efficacy (22); Poor compliance (19); Sponsor decision (4); Lost to Follow-up (3); Protocol Violation (1); Incorrect randomization (not treated) (1); Other (1),Adverse Event,49.0,1
NCT01106625,The CANTATA-MSU Trial (CANagliflozin Treatment And Trial Analysis - Metformin and SUlphonylurea),diabetes type 2,"Diabetes Mellitus, Type 2","Janssen Research & Development, LLC",INDUSTRY,469,3,76,12,2010-05,2012-04,True,469,310,152,33.9,"Other (33); Adverse Event (29); Withdrawal by Subject (28); Unable to take rescue therapy (28); Lost to Follow-up (15); Protocol Violation (7); Physician Decision (4); Creatinine or eGFR withdrawal criteria (4); Creatinine, or eGFR withdrawal criteria (2); Noncompliance with study drug (2)",Other,33.0,2
NCT00661999,Darbepoetin Alfa With or Without Iron in Treating Anemia Caused By Chemotherapy in Patients With Cancer,cardiovascular disease,"Anemia; Leukemia; Lymphoma; Lymphoproliferative Disorder; Multiple Myeloma and Plasma Cell Neoplasm; Precancerous Condition; Unspecified Adult Solid Tumor, Protocol Specific",Mayo Clinic,OTHER,502,3,2,1,2006-01,2009-03,True,490,324,166,33.9,Withdrawal by Subject (67); Other Reasons (40); Adverse Event (24); Death (17); Other Medical Problems (17); Alternative Treatment (1),Withdrawal by Subject,67.0,1
NCT00603291,BLOOM-DM: Behavioral Modification and Lorcaserin for Overweight and Obesity Management in Diabetes Mellitus,diabetes type 2,Obesity,Eisai Inc.,INDUSTRY,604,3,1,1,2007-12,2010-10,True,604,401,0,33.6,,,,1
NCT03045406,Apixaban for the Treatment of Venous Thromboembolism in Patients With Cancer,cardiovascular disease,Venous Thromboembolism,"Fadoi Foundation, Italy",OTHER,1170,2,127,11,2017-04-13,2019-12-01,True,1170,781,0,33.2,,,,1
NCT03439254,Study Evaluating the Efficacy and Safety of Obeticholic Acid in Subjects With Compensated Cirrhosis Due to Nonalcoholic Steatohepatitis,NASH,Compensated Cirrhosis; Nonalcoholic Steatohepatitis,Intercept Pharmaceuticals,INDUSTRY,919,3,192,12,2017-08-30,2022-09-08,True,919,615,130,33.1,Adverse Event (58); Withdrawal by Subject (40); Lost to Follow-up (8); Death (5); Progressive Disease (4); Physician Decision (2); Bariatric Surgery (2); Covid-19 Non Adverse Event (AE) Related Issues (1); Non-Compliance With Study Drug (1); Participant moved to Kansas (1); Site cover and participant was not willing to be transferred (1); Stopped Investigational product (IP) due to an AE in Australia (1); Drug Holiday (1); Spouse underwent surgery and participant was unable to take IP regularly (1); Site closure (1); Covid-19 Non-AE Related Issues (1); Increase CR from Baseline (1); Medical reasons by Sponsor (1),Adverse Event,58.0,2
NCT01081834,The CANTATA-M (CANagliflozin Treatment and Trial Analysis - Monotherapy) Trial,diabetes type 2,"Diabetes Mellitus, Type 2","Janssen Research & Development, LLC",INDUSTRY,678,3,78,18,2010-03,2012-03,True,675,452,131,33.0,Withdrawal by Subject (34); Other (25); Lost to Follow-up (17); Adverse Event (13); Lack of efficacy on rescue therapy (12); Noncompliance with study drug (11); Protocol Violation (7); Creatinine or eGFR withdrawal criteria (5); Unable to take rescue therapy (3); Death (2); Pregnancy (1); Physician Decision (1),Withdrawal by Subject,34.0,2
NCT00093015,Trial to Reduce Cardiovascular Events With Aranesp® Therapy (TREAT),cardiovascular disease,Kidney Disease; Diabetes Mellitus; Anemia,Amgen,INDUSTRY,4038,2,0,0,2004-08-01,2009-07-01,True,4038,2709,1329,32.9,Death (760); Withdrawal by Subject (365); Lost to Follow-up (204),Death,760.0,1
NCT01001572,Efficacy and Safety of Valsartan/Amlodipine in Patients With Mild to Moderate Essential Hypertension,cardiovascular disease,Essential Hypertension,Novartis,INDUSTRY,932,3,2,1,2009-09,2010-05,True,932,625,307,32.9,Abnormal Test Procedure Result(s) (96); Administrative problems (82); Withdrawal by Subject (53); Condition no longer requires study drug (45); Adverse Event (15); Unsatisfactory therapeutic effect (8); Lost to Follow-up (5); Abnormal Laboratory Value (1); Abnormal test procedure result(s) (1); Protocol deviation (1),Abnormal Test Procedure Result(s),96.0,2
NCT00489736,Efficacy & Safety of Dronedarone Versus Amiodarone for the Maintenance of Sinus Rhythm in Patients With Atrial Fibrillation,cardiovascular disease,Atrial Fibrillation,Sanofi,INDUSTRY,504,2,23,23,2007-06,2008-10,True,504,339,165,32.7,Adverse Event (77); Lack of Efficacy (67); Not coded/ Not pre-specified (13); Poor compliance (8),Adverse Event,77.0,1
NCT01115855,Clinical Study Of Eplerenone In Japanese Patients With Chronic Heart Failure,cardiovascular disease,Heart Failure,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,221,2,54,1,2010-07,2015-09,True,221,149,72,32.6,Adverse Event (34); Other (14); Death (11); Withdrawal by Subject (10); Lab Abnormality (2); Protocol Violation (1),Adverse Event,34.0,1
NCT00696384,A Safety and Tolerability Study of Azilsartan Medoxomil in Participants With Essential Hypertension,cardiovascular disease,Hypertension,Takeda,INDUSTRY,418,3,45,3,2007-06,2009-04,True,418,282,136,32.5,Withdrawal by Subject (44); Adverse Event (31); Lost to Follow-up (27); Protocol Violation (18); Other (6); Physician Decision (6); Lack of Efficacy (4),Withdrawal by Subject,44.0,2
NCT00968812,CANagliflozin Treatment And Trial Analysis-Sulfonylurea (CANTATA-SU) SGLT2 Add-on to Metformin Versus Glimepiride,diabetes type 2,"Diabetes Mellitus, Type 2","Janssen Research & Development, LLC",INDUSTRY,1452,3,138,20,2009-09,2013-01,True,1450,980,470,32.4,Adverse Event (109); Other (102); Withdrawal by Subject (65); Unable to take rescue therapy (41); Lost to Follow-up (40); Lack of Efficacy (32); Creatinine or eGFR withdrawal criteria (29); Physician Decision (22); Protocol Violation (14); Noncompliance with study drug (11); Death (5),Adverse Event,109.0,1
NCT00064753,Folic Acid for Vascular Outcome Reduction In Transplantation (FAVORIT),cardiovascular disease,Chronic Kidney Disease; Cardiovascular Disease; Death,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,4110,2,30,3,2002-05,2011-10,True,4110,2788,1322,32.2,Death (493); Lost to Follow-up (460); Withdrawal by Subject (369),Death,493.0,1
NCT00856986,The Effect of Insulin Detemir in Combination With Liraglutide and Metformin Compared to Liraglutide and Metformin in Subjects With Type 2 Diabetes,diabetes type 2,"Diabetes; Diabetes Mellitus, Type 2",Novo Nordisk A/S,INDUSTRY,987,5,233,10,2009-03,2010-11,True,988,670,318,32.2,Adverse Event (127); Unclassified (61); Protocol Violation (53); Withdrawal Criteria (34); Lost to Follow-up (22); Lack of Efficacy (21),Adverse Event,127.0,3
NCT00327015,A Phase 3 Study of BMS-477118 in Combination With Metformin in Subjects With Type 2 Diabetes Who Are Not Controlled With Diet and Exercise,diabetes type 2,Diabetes,AstraZeneca,INDUSTRY,1306,4,211,13,2006-05,2008-12,True,1306,888,418,32.0,Lack of Efficacy (100); Withdrawal of Consent by Subject (97); Lost to Follow-up (96); Adverse Event (52); Poor/Noncompliance (28); Subject no longer meets study criteria (21); Death (8); Physician Decision (6); Administrative Reason by Sponsor (6); Pregnancy (4),Lack of Efficacy,100.0,1
NCT00616772,"Safety and Efficacy Study Using ABT-335 (Investigational Drug) in Combination With Atorvastatin, to Study the Effects on Thickening of the Blood Vessel Wall in Patients With Abnormal Lipid (Fat) Levels in the Blood",cardiovascular disease,Coronary Artery Disease; Coronary Heart Disease; Dyslipidemia,"AbbVie (prior sponsor, Abbott)",INDUSTRY,682,2,124,1,2008-02,2012-09,True,682,465,0,31.8,,,,1
NCT00309244,Efficacy and Safety in Subjects With Type 2 Diabetes Receiving Subcutaneous Basal Insulin and Prandial Inhalation of Technosphere/Insulin Versus Subcutaneous Premixed Insulin Therapy Over a 52-Week Treatment Period and a 4-Week Follow-up,diabetes type 2,Diabetes Type 2,Mannkind Corporation,INDUSTRY,677,2,151,10,2006-02,2008-09,True,677,462,215,31.8,Withdrawal by Subject (82); Adverse Event (41); Lost to Follow-up (28); Randomized but not dosed (23); Various (14); Physician Decision (13); Protocol Violation (9); Death (5),Withdrawal by Subject,82.0,1
NCT00707031,"GLP-1 Receptor Agonist Lixisenatide Versus Exenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Metformin",diabetes type 2,"Diabetes Mellitus, Type 2",Sanofi,INDUSTRY,639,2,18,18,2008-06,2010-11,True,639,436,203,31.8,Adverse Event (90); Familial or Personal Reasons (27); Lack of Efficacy (25); Poor Compliance to Protocol (20); Sponsor Decision (17); Withdrawal by Subject (15); Serious Noncompliance (5); Lost to Follow-up (3); Protocol Violation (1),Adverse Event,90.0,1
NCT03057951,EMPagliflozin outcomE tRial in Patients With chrOnic heaRt Failure With Preserved Ejection Fraction (EMPEROR-Preserved),cardiovascular disease,Heart Failure,Boehringer Ingelheim,INDUSTRY,5988,2,619,23,2017-03-02,2021-04-26,True,5988,4097,1891,31.6,"Adverse Event (1128); Patient refusal to continue, not due to AE (588); Protocol Violation (54); Other reason than stated above (52); Lost to Follow-up (22); Due to Covid-19 Pandemic (10); Medical advice (8); Study drug stopped, reason missing (7); Patient decision (7); Patient moved away (7); Not attending study visits (3); Not treated (3); Investigator decision (2)",Adverse Event,1128.0,1
NCT00300430,"Study to Evaluate the Long-Term Safety and Efficacy of ABT-335, in Combination With Three Different Statins in Subjects With Mixed Dyslipidemia.",cardiovascular disease,Dyslipidemia; Coronary Heart Disease; Mixed Dyslipidemia,Abbott,INDUSTRY,1911,3,1,1,2006-09,,True,2201,1514,0,31.2,,,,1
NCT01598831,Phase 3 Safety and Efficacy Study of ART-123 in Subjects With Severe Sepsis and Coagulopathy,cardiovascular disease,Severe Sepsis; Coagulopathy,Asahi Kasei Pharma America Corporation,INDUSTRY,816,2,161,24,2012-10-29,2019-02-28,True,816,561,0,31.2,,,,1
NCT00434954,Effect of Exenatide Plus Metformin vs. Insulin Aspart Plus Metformin on Glycemic Control and Hypoglycemia in Patients With Type 2 Diabetes,diabetes type 2,Type 2 Diabetes Mellitus,AstraZeneca,INDUSTRY,494,2,39,1,2007-02,2009-06,True,494,341,153,31.0,Protocol Violation (63); Entry criteria not met (30); Subject decision (30); Adverse Event (19); Physician Decision (9); Lost to Follow-up (1); Sponsor decision (1),Protocol Violation,63.0,1
NCT02884206,Efficacy and Safety of LCZ696 Compared to Valsartan on Cognitive Function in Patients With Chronic Heart Failure and Preserved Ejection Fraction,cardiovascular disease,Chronic Heart Failure (CHF),Novartis Pharmaceuticals,INDUSTRY,592,2,135,20,2016-11-23,2022-05-16,True,706,488,218,30.9,Adverse Event (72); Death (70); Patient/guardian decision (48); Protocol deviation (10); Lost to Follow-up (9); Non-compliance with study treatment (5); Physician Decision (4),Adverse Event,72.0,3
NCT00249795,Atrial Fibrillation Clopidogrel Trial With Irbesartan for Prevention of Vascular Events (ACTIVE I),cardiovascular disease,Atrial Fibrillation; Cardiovascular Disease,Sanofi,INDUSTRY,9016,2,30,30,2003-06,2009-08,True,9016,6232,2784,30.9,"Withdrawal by Subject (1420); Other adverse events (non-serious) (347); Symptomatic hypotension (191); Other Serious Adverse Event (177); Non-compliance (140); Physician withdrew consent (134); Angiotensin II receptor blocker required (93); Thromboembolic / outcome event (84); Qualifying condition not present (55); Event related to cardiac condition (33); Not treated (30); Lightheadedness / dizziness (26); Minor bleeding (e.g.,bruising,epistaxis) (10); Hypotension (non-symptomatic) (10); Patient not wish to continue after May08 (10); Surgery / procedure (9); Study drug intolerance (6); Oral anticoagulant required (2); Other contraindicated medication (2); Site not agree to continue after May08 (2); Lost to Follow-up (2); Missing (1)",Withdrawal by Subject,1420.0,1
NCT02801669,Study of DU-176b Aged 80 Years or Older,cardiovascular disease,Atrial Fibrillation,"Daiichi Sankyo Co., Ltd.",INDUSTRY,984,2,164,1,2016-08-05,2019-12-27,True,984,681,303,30.8,Withdrawal by Subject (158); Death (135); Other (10),Withdrawal by Subject,158.0,1
NCT00380068,Safety and Efficacy Study of Ambrisentan in Subjects With Pulmonary Hypertension,cardiovascular disease,Pulmonary Hypertension,Gilead Sciences,INDUSTRY,224,1,39,3,2006-08,2009-05,True,224,155,69,30.8,Adverse Event (40); Withdrawal by Subject (10); Not compliant (6); Lack of Efficacy (5); Lung transplant (3); Physician Decision (2); Lost to Follow-up (1); Addition of other PAH therapeutic agent (1); Partipant moved away (1),Adverse Event,40.0,1
NCT00553787,Study of VI-0521 Compared to Placebo in Treatment of Diabetes and Obesity in Adults With Obesity-Related Co-Morbid Conditions,diabetes type 2,Obesity; Type 2 Diabetes,VIVUS LLC,INDUSTRY,2487,3,6,1,2007-11,2009-06,True,2487,1723,764,30.7,Withdrawal by Subject (274); Lost to Follow-up (254); Adverse Event (122); Other (41); Lack of Efficacy (35); Requirement for restricted medication (20); non compliance (15); Pregnancy (3),Withdrawal by Subject,274.0,1
NCT02319005,ENDEAVOUR: Phase 3 Multicenter Study of Revusiran (ALN-TTRSC) in Patients With Transthyretin (TTR) Mediated Familial Amyloidotic Cardiomyopathy (FAC),cardiovascular disease,"Transthyretin (TTR) Mediated Familial Amyloidotic Cardiomyopathy (FAC); Amyloidosis, Hereditary; Amyloid Neuropathies, Familial; Amyloid Neuropathies; Amyloidosis, Hereditary, Transthyretin-Related; Familial Transthyretin Cardiac Amyloidosis",Alnylam Pharmaceuticals,INDUSTRY,206,2,61,9,2014-12,2017-03-30,True,206,143,0,30.6,,,,1
NCT01426425,Intracardiac CrYoablation for AtrioVentricular Nodal Reentrant Tachycardia,cardiovascular disease,AtrioVentricular Nodal Reentrant Tachycardia; Supraventricular Tachycardia; Heart Disease,Medtronic Cardiac Ablation Solutions,INDUSTRY,572,1,34,2,2012-05,2016-09,True,572,397,175,30.6,"Inclusion/exclusion criteria not met (151); Exited prior to EP study (22); Met inclusion/exclusion, not treated (2)",Inclusion/exclusion criteria not met,151.0,1
NCT00739674,SAALT: Subtracting Salt and Adding Losartan Trial (0954A-335),cardiovascular disease,Hypertension,Organon and Co,INDUSTRY,992,2,0,0,2008-02-01,2010-01-01,True,992,689,303,30.5,Lost to Follow-up (82); No follow-up data (51); Screening failures (36); Adverse Event (35); Site 212 removal (32); Withdrawal by Subject (18); Dietician consultation >30 days (10); Protocol Violation (10); Clinic closed (10); Patient moved (5); Non compliant (4); Unable to attend visit (4); Reason missing (2); Death (1); Lack of Efficacy (1); Home monitoring off meds (1); Erectile dysfunction (1),Lost to Follow-up,82.0,1
NCT02398656,A Randomized Controlled Trial of TNK-tPA Versus Standard of Care for Minor Ischemic Stroke With Proven Occlusion,cardiovascular disease,"Stroke, Acute",University of Calgary,OTHER,1274,2,61,10,2015-04-01,2024-04-10,True,1274,886,0,30.5,,,,1
NCT00174785,A Trial With Dronedarone to Prevent Hospitalization or Death in Patients With Atrial Fibrillation,cardiovascular disease,Atrial Fibrillation; Atrial Flutter,Sanofi,INDUSTRY,4628,2,37,37,2005-06,2008-03,True,4628,3216,1412,30.5,Adverse Event (484); Withdrawal by Subject (348); Atrial Fibrillation/Flutter recurrence (277); Prohibited antiarrhythmic medication (127); Not pre-specified/Not coded (126); Protocol Violation (28); Family request (14); Other prohibited medication (8),Adverse Event,484.0,1
NCT00781937,Comparison of Liraglutide Versus Placebo in Weight Loss Maintenance in Obese Subjects: SCALE - Maintenance,obesity,Metabolism and Nutrition Disorder; Obesity,Novo Nordisk A/S,INDUSTRY,422,2,37,2,2008-10-30,2010-09-01,True,422,294,128,30.3,Withdrawal by Subject (41); Adverse Event (36); Unclassified (34); Protocol Violation (15); Lack of Efficacy (2),Withdrawal by Subject,41.0,2
NCT00713830,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Sulfonylurea",diabetes type 2,"Diabetes Mellitus, Type 2",Sanofi,INDUSTRY,859,2,16,16,2008-07,2011-01,True,859,600,259,30.2,Adverse Event (94); Familial and Personal Reasons (43); Lack of Efficacy (40); Withdrawal by Subject (36); Poor Compliance to Protocol (21); Sponsor Decision (14); Lost to Follow-up (11),Adverse Event,94.0,1
NCT00501059,A Study to Assess the Efficacy and Safety of Enteric-Coated Acetylsalicylic Acid in Patients at Moderate Risk of Cardiovascular Disease,cardiovascular disease,Moderate Risk of CVD,Bayer,INDUSTRY,12546,2,466,8,2007-07-05,2016-11-15,True,12546,8786,3760,30.0,Consent withdrawn by subject (1690); Other (475); Lost to Follow-up (408); Death (277); Adverse Event (251); Clinical endpoint reached (233); Missing end-of-study page (183); Protocol Violation (149); Not treated (42); Non-compliant with study treatment (39); Insufficient therapeutic effect (9); Reason not given (4),Consent withdrawn by subject,1690.0,1
NCT00311402,JASAP: Japanese Aggrenox Stroke Prevention vs. Aspirin Programme,cardiovascular disease,Cerebrovascular Accident,Boehringer Ingelheim,INDUSTRY,1295,2,151,1,2006-04,,True,1294,907,387,29.9,Adverse Event (223); Lack of Efficacy (100); Withdrawal by Subject (35); Protocol Violation (13); IRB's rejection etc. (13); Lost to Follow-up (3),Adverse Event,223.0,1
NCT01709513,"Study of Alirocumab (REGN727/SAR236553) in Patients With Primary Hypercholesterolemia and Moderate, High, or Very High Cardiovascular (CV) Risk, Who Are Intolerant to Statins (ODYSSEY ALTERNATIVE)",cardiovascular disease,Hypercholesterolemia,Regeneron Pharmaceuticals,INDUSTRY,314,3,70,8,2012-09-30,2017-05-31,True,314,220,94,29.9,Adverse Event (70); Other (21); Poor compliance to protocol (2); Randomized but not treated (1),Adverse Event,70.0,1
NCT03229057,Comparing the Effects of Oral Contraceptive Pills Versus Metformin,obesity,PCOS,Anuja Dokras,OTHER,240,3,2,1,2018-01-15,2024-07-15,True,240,169,0,29.6,,,,1
NCT00727857,Efficacy and Safety of Pioglitazone and Metformin Combination Therapy in Treating Type 2 Diabetes Mellitus.,diabetes type 2,Diabetes Mellitus,Takeda,INDUSTRY,600,3,77,4,2007-06,2008-08,True,600,424,0,29.3,,,,1
NCT01183013,"30 Week Parallel Group Comparison Study of Linagliptin + Pioglitazone (5+15, 5+30 and 5+45 mg) qd Versus Respective Monotherapies, Followed by a Comparison of 5mg+30mg and 5mg+45mg Versus Respective Monotherapies in Type 2 Diabetes for up to 54 Weeks",diabetes type 2,"Diabetes Mellitus, Type 2",Boehringer Ingelheim,INDUSTRY,936,7,132,6,2010-08,2013-02,True,936,663,273,29.2,Reasons other than stated above (95); Withdrawal by Subject (66); Adverse Event (50); Lost to Follow-up (30); Protocol Violation (21); Lack of Efficacy (11),Reasons other than stated above,95.0,1
NCT00000125,Ocular Hypertension Treatment Study (OHTS),hypertension,Ocular Hypertension; Glaucoma,Washington University School of Medicine,OTHER,1636,2,0,0,1994-02,2019-06-30,True,1636,1159,0,29.2,,,,1
NCT01272232,Effect of Liraglutide on Body Weight in Overweight or Obese Subjects With Type 2 Diabetes: SCALE™ - Diabetes,diabetes type 2,Metabolism and Nutrition Disorder; Obesity,Novo Nordisk A/S,INDUSTRY,846,3,161,13,2011-06-01,2013-01-25,True,846,599,247,29.2,Withdrawal criteria (103); Adverse Event (66); Unclassified (39); Protocol Violation (35); Lack of Efficacy (4),Withdrawal criteria,103.0,2
NCT00508820,An Open Label Study of Romiplostim in Adult Thrombocytopenic Subjects With ITP,cardiovascular disease,Idiopathic Thrombocytopenic Purpura; Thrombocytopenia; Thrombocytopenic Purpura,Amgen,INDUSTRY,407,1,0,0,2005-02-01,2011-03-01,True,407,288,119,29.2,Withdrawal by Subject (22); Requirement for alternative therapy (22); Adverse Event (16); Protocol-specified Criteria (15); Death (14); Other (13); Physician Decision (10); Lost to Follow-up (2); Pregnancy (2); Protocol Violation (2); Noncompliance (1),Withdrawal by Subject,22.0,1
NCT01755156,"A Study to Evaluate the Safety, Tolerability, and Efficacy of the Addition of Omarigliptin (MK-3102) to Participants With Type 2 Diabetes Mellitus Who Have Inadequate Glycemic Control on Metformin Therapy (MK-3102-024)",diabetes type 2,Type 2 Diabetes Mellitus,Merck Sharp & Dohme LLC,INDUSTRY,402,2,0,0,2013-01-11,2016-03-16,True,402,285,116,29.1,Withdrawal by Subject (77); Lost to Follow-up (25); Adverse Event (5); Protocol Violation (2); Creatinine or eGFR Discon. Criteria (2); Need for Excluded Med. Discon. Criteria (2); Lack of Efficacy (1); Non-compliance with study drug (1); Physician Decision (1),Withdrawal by Subject,77.0,2
NCT00789737,Welchol as Monotherapy for Type 2 Diabetes Mellitus,diabetes type 2,Type 2 Diabetes Mellitus,Daiichi Sankyo,INDUSTRY,357,2,107,1,2009-01,2011-12,True,357,254,103,28.9,Withdrawal by Subject (35); Lost to Follow-up (24); Other (18); Adverse Event (16); hyperglycemia that met protocol-specifie (4); Protocol Violation (3); Lack of Efficacy (3),Withdrawal by Subject,35.0,1
NCT03691649,A Phase III Study Assessing the Efficacy and Safety of DE-117 Ophthalmic Solution Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Glaucoma or Ocular Hypertension - Spectrum 3 Study,hypertension,Glaucoma and Ocular Hypertension,Santen Inc.,INDUSTRY,426,2,47,1,2018-09-14,2020-09-03,True,426,304,0,28.6,,,,2
