feature,importance,feature_group
cat__period_title_Pre-treatment Period,6.85189697670718e-11,categorical
cat__period_title_Long-term Period (Weeks 24 to 52),6.661489911977677e-11,categorical
cat__period_title_Long Term Double Blind (LTDB),6.608439863290758e-11,categorical
cat__period_title_Up to Interim Analysis (Week 12),6.600746233908221e-11,categorical
cat__reason_No longer met criteria,6.499154195622367e-11,categorical
cat__reason_Non compliant with the protocol,6.090419066261059e-11,categorical
cat__reason_Did not Receive Intervention,5.992509279855218e-11,categorical
"cat__period_title_Extension Period, Weeks 26-52",5.984127309384289e-11,categorical
cat__reason_Participant Decision,5.91367939835215e-11,categorical
cat__reason_Efficacy outcome reached,5.899470648355252e-11,categorical
cat__reason_Previous enrolment into this study,5.6288957160864695e-11,categorical
cat__period_title_Initiation Period (Week 0-26),5.5759883715425714e-11,categorical
"cat__period_title_PeriodI-II (Randomized, Double-Blind)",5.469201183383233e-11,categorical
cat__arm_id_FG011,5.467429676319625e-11,categorical
cat__reason_Not treated,5.4455084423944763e-11,categorical
cat__period_title_Off Drug Follow-up Period (Weeks 56-68),5.440701289596433e-11,categorical
cat__period_title_Treatment Period 1,5.346855400633228e-11,categorical
cat__period_title_Extension Stage,5.323390057910408e-11,categorical
cat__period_title_Maintenance Period 1 (36 Weeks),5.243410611125921e-11,categorical
"cat__period_title_Post Treatment Follow-Up, 3 Months",5.1922330788811686e-11,categorical
cat__reason_No longer meet study criteria,5.170749560819089e-11,categorical
cat__period_title_Valsartan Run-in Period,5.093425977482406e-11,categorical
cat__reason_No longer meets study criteria,4.973314213737091e-11,categorical
cat__reason_Consent Withdrawn,4.9731945183388595e-11,categorical
cat__period_title_Part 2: Open-label Period,4.876368683534618e-11,categorical
cat__reason_24 hr ABPM not enough readings,4.853975669150032e-11,categorical
cat__period_title_Short-Term (ST) Treatment Period,4.680653839219444e-11,categorical
cat__period_title_Extension Phase: 53 - 104 Weeks,4.613501112083759e-11,categorical
cat__reason_Administrative Error,4.517234332534203e-11,categorical
"cat__period_title_Double-Blind, Week 0-26",4.334106062166392e-11,categorical
cat__reason_Specified category,4.110914860736093e-11,categorical
cat__reason_Screen failure,4.091738536529676e-11,categorical
cat__period_title_Core Phase,4.028484424810334e-11,categorical
cat__period_title_Double-blind Treatment (Weeks 1 to 8),3.997013572587698e-11,categorical
cat__reason_Unable to attend termination visit,3.881377803984575e-11,categorical
cat__period_title_Period 2,3.827033067373686e-11,categorical
cat__period_title_50-Week Extension Study,3.7701462155622e-11,categorical
cat__reason_Patient's request,3.760771804575755e-11,categorical
cat__reason_Mis-randomized,3.7237783546459306e-11,categorical
cat__period_title_Long-Term (LT) Treatment Period,3.6091248741294144e-11,categorical
cat__reason_Decision by sponsor,3.581995830594774e-11,categorical
cat__reason_Administrative issue,3.493482170160252e-11,categorical
cat__reason_Non-compliance with protocol,3.447767586299327e-11,categorical
cat__reason_Closed Site,3.307220223437299e-11,categorical
cat__reason_Investigator's Discretion,3.2395948297782526e-11,categorical
cat__reason_Procedure,3.2172724077782726e-11,categorical
cat__period_title_Crossover Period,3.1548629685595617e-11,categorical
cat__period_title_Treatment (12 +/- 2 Days),3.087311858420192e-11,categorical
cat__reason_Missing Weight at Week 176,3.070701631302488e-11,categorical
cat__period_title_Main: Week 0 to 52 (NN1250-3582),3.0538910917030376e-11,categorical
cat__period_title_Period 2: Long-term (52-week) Phase,3.04717338886326e-11,categorical
cat__reason_Randomized but not treated,3.043986179271627e-11,categorical
cat__reason_Lack of Interest,2.935975069828966e-11,categorical
cat__reason_Disallowed Concurrent Medication,2.916741540945797e-11,categorical
cat__reason_Needed excluded medication,2.9016444057481546e-11,categorical
cat__reason_Technical problems,2.896711663736052e-11,categorical
cat__reason_Inadequate Control of IOP,2.8949146311639064e-11,categorical
cat__period_title_Extension (Weeks 9 to 52),2.8364542248664465e-11,categorical
cat__period_title_Follow-up (30 (+ 5) Days),2.7223625661521044e-11,categorical
cat__period_title_Main Phase (26 Weeks),2.5981860442419155e-11,categorical
cat__period_title_2nd Stage,2.5976476288328422e-11,categorical
cat__period_title_4-Randomized Double-blind 2 Treatments,2.5606727179608858e-11,categorical
cat__period_title_Extension: Week 53 to 78 (NN1250-3667),2.5565650542253383e-11,categorical
cat__reason_Had other reason,2.4777734014005907e-11,categorical
cat__period_title_Week 26-52 (Extension Period 1),2.466601885142759e-11,categorical
cat__period_title_Second Period (Additional Drug Added),2.3109299796586256e-11,categorical
cat__reason_Study Closed/terminated,2.2485318426960456e-11,categorical
cat__reason_Lack of Efficacy-Loss of Glucose Control,2.1870747397901045e-11,categorical
cat__reason_Severe non-compliance to protocol,2.1764199017927348e-11,categorical
cat__reason_Lab Abnormality,2.031949379858056e-11,categorical
cat__reason_Subject request to discontinue treatment,1.9453080061143594e-11,categorical
cat__reason_Related to auto-injector administration,1.8670270001917885e-11,categorical
cat__reason_Non-Compliance,1.7681804810628226e-11,categorical
cat__period_title_Weeks 1-8 / 10 mg Dose Level,1.7652511514963314e-11,categorical
cat__period_title_Long-term Period (Weeks 24 to 102),1.7479543802093257e-11,categorical
cat__period_title_Crossover Washout,1.7357343848594183e-11,categorical
cat__reason_Study Site Terminated by Sponsor,1.683336936869023e-11,categorical
cat__period_title_Follow-up Period (FUP),1.6408284313588018e-11,categorical
cat__period_title_Part 2 Single-Blind,1.592562393684201e-11,categorical
"cat__reason_Moved, transfer abroad, did not enter FU",1.5497217967678798e-11,categorical
cat__reason_Poor / Non-compliance,1.4739287166318654e-11,categorical
cat__period_title_Phase A to Phase B Transition Period,1.4389194935639184e-11,categorical
cat__reason_Progressive disease,1.4297263573030368e-11,categorical
cat__period_title_Open-label Treatment Period,1.429379762045419e-11,categorical
cat__reason_Reason other than those specified,1.3943762192055868e-11,categorical
cat__reason_Loss of glucose control,1.389839549546567e-11,categorical
cat__reason_Missing,1.3883647376596288e-11,categorical
cat__period_title_Crossover Washout Period,1.3044885212896425e-11,categorical
cat__reason_Laboratory Adverse Event,1.2857696006087722e-11,categorical
cat__reason_No-compliant subject,1.2842437542536531e-11,categorical
cat__period_title_Phase B - (Week 25 to 52),1.2706324565694838e-11,categorical
cat__period_title_Short-term (ST) Period (Day 1-Week 24),1.2132520704944458e-11,categorical
cat__reason_Exclusion criteria met,1.2068636327830204e-11,categorical
cat__period_title_Extension Treatment Period,1.1868516426098098e-11,categorical
cat__reason_Need for Excluded Med. Discon. Criteria,1.170117882084846e-11,categorical
cat__reason_Not meet/no longer meets criteria,1.1028348164798737e-11,categorical
cat__reason_Entry Criteria Not Met,1.1007566338824024e-11,categorical
cat__period_title_Start Period2 to End Period2 (Week 7-33),1.0777273068997578e-11,categorical
cat__reason_Incorrect enrolment/mis-randomisation,1.0618745732201887e-11,categorical
cat__period_title_Extension,1.0076087486618152e-11,categorical
cat__period_title_Extension: Week 53 to 104 (NN1250-3643),1.0009924715069395e-11,categorical
cat__period_title_Start Period1 to End Period1 (Week 1-6),9.714534220415678e-12,categorical
cat__period_title_Double-blind Treatment Period,9.027117929110402e-12,categorical
cat__reason_Dev. of study spec. withdrawal criteria,8.776339487957326e-12,categorical
cat__reason_Worsening of Glycosolated Hemoglobin,8.395215635342929e-12,categorical
"cat__reason_Captured as ""Other""",8.292950582409633e-12,categorical
cat__reason_Consent withdrawn:Final VS not available,7.2333213224189e-12,categorical
cat__reason_Woman of Child-bearing Potential,6.950125472746804e-12,categorical
cat__reason_Treatment Non-compliance,6.789508907801182e-12,categorical
cat__period_title_Extension Phase (26 Weeks),6.7809292180509395e-12,categorical
cat__reason_Subject decision (vital status: missing),6.701883810655023e-12,categorical
cat__reason_Incorrect enrollment,6.622083114936382e-12,categorical
cat__reason_Sponsor's decision,6.576852633568656e-12,categorical
cat__period_title_Phase A (Weeks 0 to 24),6.496526601390805e-12,categorical
cat__reason_IVUS not available,6.437812125375739e-12,categorical
cat__period_title_Period 1：Double Blind Period,6.06917387274632e-12,categorical
cat__reason_Abnormal Test Procedure Result,6.050098241929032e-12,categorical
cat__reason_Subject no longer meets study criteria,5.892625238652695e-12,categorical
cat__reason_Administrative,5.8610260629057736e-12,categorical
cat__period_title_Referral Screening Period,5.728017450957217e-12,categorical
cat__reason_Lost to follow up,5.723566495033577e-12,categorical
cat__period_title_Phase 1 - Amlodipine+Olmesartan,5.452672057416742e-12,categorical
cat__reason_Lack of glycaemic control,5.325420231286577e-12,categorical
cat__reason_Poor/Noncompliance,5.085804878146385e-12,categorical
cat__reason_Sponsor decision,4.789583839696633e-12,categorical
cat__reason_Subject decision (vital stat: unkn),4.633266937108878e-12,categorical
cat__period_title_Started Study Medication,4.426354962083946e-12,categorical
cat__reason_conmed-BP-pulse-ABPM withdrawal criteria,4.395659929797119e-12,categorical
cat__period_title_Part 3 Double-Blind Withdrawal,4.3249862316517006e-12,categorical
cat__reason_LDL < 50 mg/dL,4.305269216980246e-12,categorical
cat__reason_Treatment Noncompliance,4.253539836961798e-12,categorical
cat__reason_Reason Not Specified: No 30-day visit,4.24297908716459e-12,categorical
cat__reason_Laboratory abnormality,4.194246492925672e-12,categorical
cat__reason_Excluded Medication,4.1906471726276235e-12,categorical
cat__reason_Unsatisfactory therapeutic response,4.1379642381048955e-12,categorical
cat__period_title_Extension Study,4.111512406481699e-12,categorical
cat__period_title_Open-Label Extension Phase,3.888350828544575e-12,categorical
cat__reason_Hypoglycaemia,3.678076401733659e-12,categorical
cat__period_title_Safety Follow Up Period,3.5667249653131585e-12,categorical
cat__reason_Protocol Deviation,3.541720196758558e-12,categorical
cat__arm_id_FG008,3.455840155253589e-12,categorical
cat__period_title_Week 52-78 (Extension Period 2),3.406234808511454e-12,categorical
cat__reason_Study termination,3.4002743886260458e-12,categorical
cat__reason_Site Terminated,3.286139526138214e-12,categorical
cat__reason_Study drug intolerance,3.2367339929391115e-12,categorical
cat__reason_Randomized But Not Treated,3.1402820346067464e-12,categorical
cat__period_title_2-Randomized Double-blind 3 Treatments,3.117747897087764e-12,categorical
cat__reason_Withdrew consent,3.067562545414863e-12,categorical
cat__reason_Poor non-compliance,3.0382203280543803e-12,categorical
cat__reason_Noncompliance with study drug,2.9088814419603154e-12,categorical
cat__period_title_Washout Period (8 Weeks),2.6403122380991774e-12,categorical
cat__reason_Abnormal laboratory value(s),2.474046460376723e-12,categorical
cat__reason_Not Reported,2.4570198777224456e-12,categorical
cat__reason_Sponsor Terminated Study Treatment,2.3440164066923927e-12,categorical
cat__reason_non-specified,2.3272553677900632e-12,categorical
cat__reason_Site Closed Early,2.089150149067419e-12,categorical
"cat__reason_Other, not specified",1.9857622663393555e-12,categorical
cat__reason_Poor compliance or noncompliance,1.982607327686415e-12,categorical
cat__reason_Participant no longer meets study criteria,1.752409729650719e-12,categorical
cat__reason_Restricted med,1.7425153050800072e-12,categorical
cat__period_title_Weeks 13-16 / 40mg Dose Level,1.7120656884431062e-12,categorical
cat__reason_Multiple different reasons,1.6080770384151855e-12,categorical
cat__period_title_Open-label Period,1.5710677268730552e-12,categorical
cat__reason_Condition no longer requires study drug,1.5040723767557826e-12,categorical
cat__period_title_Week 0 to Week 26,1.3847599397289333e-12,categorical
cat__reason_Administrative reason by sponsor,1.3517629888425525e-12,categorical
cat__reason_Administrative reasons,1.2438603286954547e-12,categorical
cat__reason_Hypoglycemia,1.2152835437074744e-12,categorical
cat__reason_Non-Compliance With Study Drug,1.1344000266134526e-12,categorical
cat__reason_Patient Missed Week 72 Visit Due to SAE,1.108384329682746e-12,categorical
cat__reason_Lost to Follow-up for Mortality,1.0448024460852912e-12,categorical
cat__reason_Participant moved,1.0345442212053596e-12,categorical
cat__reason_Creatinine or eGFR withdrawal criteria,1.0171599651982566e-12,categorical
cat__reason_Randomized but not Treated,1.0137229069516437e-12,categorical
cat__period_title_Period V (Double -Blind),9.791624265872207e-13,categorical
cat__period_title_Weeks 9-12 / 20mg Dose Level,8.763109070651208e-13,categorical
cat__reason_Randomized but drug not received,8.645170381858518e-13,categorical
cat__reason_protocol non-compliance,8.51899143336485e-13,categorical
cat__reason_Randomised in error; pregnancy; moving,7.843526528030154e-13,categorical
cat__reason_Reason 'Other' in the protocol,7.127727757136517e-13,categorical
cat__reason_Lab value,6.779955531314992e-13,categorical
cat__reason_Met discontinuation criteria,6.720249775120677e-13,categorical
cat__period_title_Long Term Extension (Up to 25 Jun 2013),6.661982237291531e-13,categorical
cat__reason_Non-Compliance with Study Drug,6.572573302888136e-13,categorical
"cat__reason_Creatinine, or eGFR withdrawal criteria",6.476204580944511e-13,categorical
"cat__period_title_Period 3: Double-blind, Withdrawal",5.765620228211405e-13,categorical
cat__reason_Other discontinuation,5.568129751397959e-13,categorical
cat__reason_Safety reasons,5.271687664079453e-13,categorical
cat__reason_Protocol violation,4.890249011200858e-13,categorical
cat__reason_Laboratory test,4.819538040281435e-13,categorical
cat__reason_Familial and Personal Reasons,4.807837756332619e-13,categorical
cat__reason_Requirement for restricted medication,4.801761090003252e-13,categorical
cat__reason_Lack of trial product,4.707313485668855e-13,categorical
cat__reason_Termination of Study/ Site by GSK,4.673696068993531e-13,categorical
cat__reason_Subject decision/No wish to continue,4.268996329862113e-13,categorical
cat__reason_Personal Circumstance,4.196646397929472e-13,categorical
cat__reason_Use of prohibited medication,3.4101782195597817e-13,categorical
cat__reason_Bariatric Surgery,3.159883710110724e-13,categorical
cat__reason_Poor/noncompliance,3.086149640597911e-13,categorical
cat__reason_Creatinine / Creatinine clearance,3.002829232216225e-13,categorical
cat__reason_Investigator's decision,2.4220263157487243e-13,categorical
cat__reason_Ineligibility determined,2.1894969914200175e-13,categorical
cat__reason_Study Site Reason,2.1617142892963723e-13,categorical
cat__period_title_Randomized Participants,2.0233607991476647e-13,categorical
cat__reason_Missed visit,1.8821294834924527e-13,categorical
cat__reason_Severe non-compliance,1.6979472777495448e-13,categorical
"cat__reason_The subject was randomized, but did not take any investigational product",1.5373459343451256e-13,categorical
cat__reason_Investigator/Orthopedic Surgeon Decision,1.4461194957569392e-13,categorical
cat__period_title_Placebo-controlled Withdrawal Phase,1.2045615833196935e-13,categorical
cat__reason_Early withdraw,1.1345255640064415e-13,categorical
cat__reason_Administrative Reason by Sponsor,1.083141687237145e-13,categorical
cat__reason_Missing disposition information,1.0710207635125111e-13,categorical
cat__reason_Requested discontinue treatment,1.0436045988433768e-13,categorical
"cat__reason_Inv Decision, HbA1c not controlled",1.0311418587217739e-13,categorical
cat__reason_Other contraindicated medication,9.832243121773874e-14,categorical
cat__reason_Randomized in Error - No Study Drug,9.592054181388833e-14,categorical
cat__period_title_Period 2 - Double-Blind Dose Response,9.441200354935267e-14,categorical
cat__reason_Did not meet trial criteria,9.149173463925289e-14,categorical
cat__reason_Serious Adverse Event,4.9922397924990423e-14,categorical
cat__period_title_Period IV (Double-Blind),4.1549799696021685e-14,categorical
cat__reason_Closure of the trial site,3.4447154999232005e-14,categorical
cat__reason_Site not agree to continue after May08,3.214869249548608e-14,categorical
cat__reason_site terminated,3.1805210379317963e-14,categorical
cat__reason_non compliance,3.0192276803562536e-14,categorical
cat__reason_Subject noncompliance,2.7938412576795853e-14,categorical
cat__reason_Drop out before Treatment Start,2.7553059733577907e-14,categorical
cat__arm_id_FG010,2.1321896577697467e-14,categorical
cat__reason_protocol discontinuation criteria,1.9543371804838485e-14,categorical
cat__reason_Abnormal laboratory values,1.7591061673832924e-14,categorical
cat__reason_One or more non-interpretable scan,1.7396184513840176e-14,categorical
cat__reason_Excluded medication,1.7210728371071718e-14,categorical
cat__period_title_Start Period3 to End Period3(Week 34-53),1.3371868603810555e-14,categorical
cat__arm_id_FG013,1.2516092801186828e-14,categorical
cat__reason_No treatment given,9.562492736184095e-15,categorical
cat__reason_Protocol deviation(s),8.835722534420502e-15,categorical
cat__reason_Site Closed by Sponsor,5.64365006223227e-15,categorical
cat__reason_Protocol driven decision point,4.914996017002508e-15,categorical
cat__reason_Taken inhibition medication eg Prandin,4.222377307609862e-15,categorical
cat__period_title_Completed the Study,3.457251220695702e-15,categorical
cat__reason_Administrative reason,1.7646700193261725e-15,categorical
cat__reason_Subject did not meet end of study ABPM,1.407029691039528e-15,categorical
cat__reason_Change in treatment,1.1032343989547143e-15,categorical
cat__arm_id_FG023,2.942155536758403e-16,categorical
cat__arm_id_FG012,1.1619973104021666e-16,categorical
cat__reason_Participant convenience,6.548096186176001e-17,categorical
cat__reason_Study termination by sponsor,5.1063159167955156e-17,categorical
cat__reason_Not Treated,0.0,categorical
cat__reason_Other (Not specified),0.0,categorical
cat__reason_Other (Missing),0.0,categorical
cat__reason_Non-compliant,0.0,categorical
"cat__reason_Non-compliance, not met criteria etc.",0.0,categorical
"cat__reason_Non-compliance, not Met Study Criteria",0.0,categorical
cat__reason_Non-compliance with the CTP,0.0,categorical
cat__reason_Non-compliance with study treatment,0.0,categorical
cat__reason_Non-compliance with study schedule,0.0,categorical
cat__reason_Non-compliance with study procedures,0.0,categorical
cat__reason_Non-compliance with study drug,0.0,categorical
cat__reason_Non-compliance with protocol by the subject,0.0,categorical
cat__reason_Non-compliance with Study Schedule,0.0,categorical
cat__reason_Not Met Study Criteria,0.0,categorical
cat__reason_Not Evaluable for Angiography Analysis,0.0,categorical
cat__reason_Not Evaluable for 9-Month Angiography,0.0,categorical
cat__reason_Orthopedic Surgery,0.0,categorical
cat__reason_Option selected by investigator,0.0,categorical
cat__reason_Open-Label AHA Treatment Requested,0.0,categorical
cat__reason_Open label clopidogrel required,0.0,categorical
cat__reason_Ongoing in Period 2,0.0,categorical
cat__reason_Ongoing,0.0,categorical
cat__reason_One of the subjects IS NO LONGER USING AQUACEL STANDARD OF CARE AND WAS REMOVED FROM THE STUDY,0.0,categorical
cat__reason_Other Reason Not Specified,0.0,categorical
cat__reason_Other Protocol Violation,0.0,categorical
cat__reason_Other Protocol Specified Criteria,0.0,categorical
cat__reason_Other Miscellaneous Reason,0.0,categorical
cat__reason_Other Medical Problems,0.0,categorical
cat__reason_Other Eligibility criteria,0.0,categorical
cat__reason_Other Death,0.0,categorical
cat__reason_Other Complicating Disease,0.0,categorical
cat__reason_Other - Reason not reported in CSR,0.0,categorical
cat__reason_Other - Not Otherwise Specified (NOS),0.0,categorical
cat__reason_Other (house moving),0.0,categorical
cat__reason_Other reason (incl. lack of efficacy),0.0,categorical
cat__reason_Other reason,0.0,categorical
cat__reason_Non-completion of visit activity,0.0,categorical
"cat__reason_Non-compl., not met criteria, etc.",0.0,categorical
cat__reason_Non respect of one of inclusion criteria,0.0,categorical
cat__reason_Non compliant,0.0,categorical
cat__reason_Non compliance with protocol,0.0,categorical
cat__reason_Non compliance,0.0,categorical
cat__reason_Non Serious Hypoglycemia,0.0,categorical
cat__reason_Non Compliance,0.0,categorical
cat__reason_Non-compliant with protocol,0.0,categorical
cat__reason_Non-compliant with Study Medication,0.0,categorical
cat__reason_Non-compliant with Medication,0.0,categorical
cat__reason_Other protocol specified criteria,0.0,categorical
cat__reason_Other prohibited medication,0.0,categorical
cat__reason_Other pre-existing disease worsening,0.0,categorical
cat__reason_Other not specified,0.0,categorical
cat__reason_Other not defined above,0.0,categorical
cat__reason_Other medical condition (no Adverse Event),0.0,categorical
cat__reason_Other listed,0.0,categorical
cat__reason_Other incl. lack of efficacy,0.0,categorical
"cat__reason_Other, Subject moved out of the country",0.0,categorical
"cat__reason_Other, Not Specified",0.0,categorical
cat__reason_Other than stated,0.0,categorical
cat__reason_Other than listed above,0.0,categorical
cat__reason_Other than listed,0.0,categorical
cat__reason_Other reason than stated above,0.0,categorical
cat__reason_Other reason than listed,0.0,categorical
cat__reason_Other reason not described above,0.0,categorical
cat__reason_Other reason for early termination,0.0,categorical
cat__reason_Pain,0.0,categorical
cat__reason_PI recommended early withdrawal,0.0,categorical
cat__reason_PI Decided for Safety Purpose,0.0,categorical
cat__reason_No receive treatment/lost to follow-up,0.0,categorical
cat__reason_No reason provided,0.0,categorical
cat__reason_No primary outcome data,0.0,categorical
cat__reason_No longer required study medication,0.0,categorical
cat__reason_No longer met study criteria,0.0,categorical
cat__reason_No longer meets criteria,0.0,categorical
cat__reason_No longer meeting study criteria,0.0,categorical
cat__reason_Non-compliance towards treatment,0.0,categorical
cat__reason_Non-compliance issues,0.0,categorical
cat__reason_Non-compliance,0.0,categorical
cat__reason_PD: Inconvenience of Dosing,0.0,categorical
cat__reason_PCI at external hospital,0.0,categorical
cat__reason_P.I. recommended due to blood pressure,0.0,categorical
cat__reason_Overall trial ended,0.0,categorical
cat__reason_Outcome event - other,0.0,categorical
cat__reason_Others,0.0,categorical
cat__reason_Other: Not available,0.0,categorical
"cat__reason_Other, weight gain, hypoglycaemic events",0.0,categorical
"cat__reason_Other, not specified above",0.0,categorical
"cat__reason_Other, including non-compliance",0.0,categorical
"cat__reason_Other, Subject wanted HbA1c to be > 7%",0.0,categorical
cat__reason_Participant Thought there were Too Many Adverse Events,0.0,categorical
cat__reason_Participant Schedule,0.0,categorical
cat__reason_Participant Relocating to Africa,0.0,categorical
cat__reason_Participant Randomized but died before dosing,0.0,categorical
cat__reason_Participant Non-compliance,0.0,categorical
cat__reason_Participant Moved to Africa,0.0,categorical
cat__reason_Participant Moved Away,0.0,categorical
cat__reason_Participant Moved,0.0,categorical
cat__reason_Participant Duplicated at Another Site,0.0,categorical
cat__reason_Participant Did Not Come for the Visit,0.0,categorical
cat__reason_Participant Developed a Rash,0.0,categorical
cat__reason_Participant Decided to Move Out of State,0.0,categorical
cat__reason_Participant Could Not Continue Due to Work Related Reasons,0.0,categorical
cat__reason_Parent(s)/guardian(s)'s request,0.0,categorical
cat__reason_Participant moved back to home country,0.0,categorical
cat__reason_Participant missing reason for study discontinuation,0.0,categorical
cat__reason_Participant left the country,0.0,categorical
"cat__reason_Participant is alive, just unable to come for visits",0.0,categorical
cat__reason_Participant had taken prohibited concomitant medication,0.0,categorical
cat__reason_Participant had flushing,0.0,categorical
cat__reason_Participant felt the drug did not work,0.0,categorical
cat__reason_Participant didn't complete MRI,0.0,categorical
cat__reason_Participant did not wish to continue,0.0,categorical
cat__reason_Participant did not take study drug,0.0,categorical
cat__reason_Participant did not receive treatment,0.0,categorical
cat__reason_Participant completed study at visit 27,0.0,categorical
cat__reason_Participant Withdrew Consent,0.0,categorical
cat__reason_Participant tolerability,0.0,categorical
cat__reason_Participant stopped study medication,0.0,categorical
cat__reason_Participant schedule,0.0,categorical
cat__reason_Participant request to discontinue,0.0,categorical
cat__reason_Participant out of assessment window,0.0,categorical
cat__reason_Participant only allowed phone follow-up,0.0,categorical
cat__reason_Participant non-compliance / Protocol violation(s),0.0,categorical
cat__reason_Participant no longer meets the inclusion/exclusion criteria,0.0,categorical
cat__reason_Participant moves,0.0,categorical
cat__reason_Participant moved to another city with no available site,0.0,categorical
cat__reason_Participant moved to Kansas,0.0,categorical
cat__reason_Participant moved out of province,0.0,categorical
cat__reason_Participant moved or relocated,0.0,categorical
cat__reason_Patient Accidentally Unblinded,0.0,categorical
cat__reason_Patient /Family decision,0.0,categorical
cat__reason_Partipant moved away,0.0,categorical
cat__reason_Participation in another ABT-335 trial,0.0,categorical
cat__reason_Participants withdrawn due to company goals,0.0,categorical
cat__reason_Participants request to discontinue study treatment,0.0,categorical
cat__reason_Participants moved,0.0,categorical
cat__reason_Participants Excluded Due to GCP Compliance Issue,0.0,categorical
cat__reason_Participant withdrew consent,0.0,categorical
cat__reason_Participant withdrawn due to COVID-19 situation,0.0,categorical
cat__reason_Participant was in Rehabilitation,0.0,categorical
cat__reason_Participant was Reluctant to Follow-up,0.0,categorical
cat__reason_Participant was Out of the Country,0.0,categorical
cat__reason_Participant wanted to try other therapy or treatment,0.0,categorical
cat__reason_Participant used antipsychosis meds,0.0,categorical
cat__reason_Participant travelled Overseas,0.0,categorical
cat__reason_Patient Refusal,0.0,categorical
cat__reason_Patient Received Glycemic Medication,0.0,categorical
cat__reason_Patient Non-compliant,0.0,categorical
cat__reason_Patient No Longer Requires Study Drug,0.0,categorical
cat__reason_Patient Moving,0.0,categorical
cat__reason_Patient Incorrectly Randomized,0.0,categorical
cat__reason_Patient Disposition Challenges,0.0,categorical
cat__reason_Patient Discontinued for Other Reasons,0.0,categorical
cat__reason_Patient Died,0.0,categorical
cat__reason_Patient Did Not Meet Entrance Criteria,0.0,categorical
cat__reason_Patient Decision Unrelated to AE,0.0,categorical
cat__reason_Patient Decision Unrel to Adverse Event,0.0,categorical
cat__reason_Patient Decision,0.0,categorical
cat__reason_Patient Could Not Return to Hospital Due to COVID-19 Epidemic,0.0,categorical
cat__reason_Patient elected,0.0,categorical
cat__reason_Patient did not wish to attend visits,0.0,categorical
cat__reason_Patient did not attend all visits,0.0,categorical
cat__reason_No More Need of Insulin,0.0,categorical
cat__reason_No Longer Meets Eligibility Criteria,0.0,categorical
cat__reason_No Longer Meets Criteria,0.0,categorical
cat__reason_No 9-Month Angiography Performed,0.0,categorical
cat__reason_New drug pulmonary atrial hypertension,0.0,categorical
cat__reason_New condition or starts new therapy,0.0,categorical
cat__reason_New Drug Pulmonary Atrial Hypertension,0.0,categorical
cat__reason_New Cancer therapy,0.0,categorical
cat__reason_New Antidiabetic Medication,0.0,categorical
cat__reason_Never Entered Follow-up,0.0,categorical
cat__reason_No visit within allowance period,0.0,categorical
cat__reason_No treatment was received,0.0,categorical
cat__reason_Patient deemed ineligible after random,0.0,categorical
cat__reason_Patient declined further treatment,0.0,categorical
cat__reason_Patient decision to stop/interrupt medication,0.0,categorical
cat__reason_Patient decision,0.0,categorical
cat__reason_Patient could not travel to site,0.0,categorical
cat__reason_Patient convenience,0.0,categorical
cat__reason_Patient and PI Decision to Discontinue,0.0,categorical
cat__reason_Patient Uncooperative,0.0,categorical
cat__reason_Patient Still in Follow-up,0.0,categorical
cat__reason_Patient Specific Reasons,0.0,categorical
cat__reason_Patient Self-discontinuation,0.0,categorical
cat__reason_Patient Refused to Continue Study,0.0,categorical
"cat__reason_Patient refusal to continue, not due to AE",0.0,categorical
cat__reason_Patient received Phase A rescue therapy,0.0,categorical
cat__reason_Patient received Empagliflozin for Diabetes,0.0,categorical
cat__reason_Patient randomized in error,0.0,categorical
cat__reason_Patient randomized but not dosed,0.0,categorical
cat__reason_Patient not wish to continue after May08,0.0,categorical
cat__reason_Patient no longer needs study drug,0.0,categorical
cat__reason_Patient needed prohibited treatment,0.0,categorical
cat__reason_Patient moved away/being abroad,0.0,categorical
cat__reason_Patient moved away,0.0,categorical
cat__reason_Patient moved,0.0,categorical
cat__reason_Patient met glycemic withdrawal criteria,0.0,categorical
cat__reason_Per sponsors instruction,0.0,categorical
cat__reason_Per sponsor due to noncompliance,0.0,categorical
cat__reason_Per Sponsors Request,0.0,categorical
"cat__reason_Per Data Query, Less Than 4 Wks Coversyl",0.0,categorical
cat__reason_Patient/guardian decision,0.0,categorical
cat__reason_Patient's no longer requires study drug,0.0,categorical
cat__reason_Patient's Decision Unrelated to AE,0.0,categorical
cat__reason_Patient's Decision,0.0,categorical
cat__reason_Patient withdrew request,0.0,categorical
cat__reason_Patient was randomized due to mistake,0.0,categorical
cat__reason_Patient was non-compliant,0.0,categorical
cat__reason_Patient was early terminated from study,0.0,categorical
cat__reason_Patient was assessed via phone in person,0.0,categorical
cat__reason_Patient uncooperative,0.0,categorical
cat__reason_Physician decision: Day 30 visit <23 day,0.0,categorical
cat__reason_Physician Discontinued-Thrombocytopenia,0.0,categorical
cat__reason_Physical disability to come to the site for the closing visit,0.0,categorical
cat__reason_Personal reasons,0.0,categorical
cat__reason_Personal matter,0.0,categorical
cat__reason_Personal issues,0.0,categorical
cat__reason_Persistent Hyperglycemia,0.0,categorical
cat__reason_Persistant Elevated HbA1c Results,0.0,categorical
cat__reason_Perceived excessive weight loss,0.0,categorical
cat__reason_Poor compliance/noncompliance,0.0,categorical
