priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
687,NCT00602472,Adverse Event,Overall Study,FG001,0.1400801626154761,0.9695341297686192,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
688,NCT01101035,Lost to Follow-up,Overall Study,FG001,0.1400443454385515,0.9694897188790692,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
689,NCT03080883,Other Complicating Disease,Overall Study,FG000,0.1400374746859523,0.969445307989519,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
690,NCT02678312,Lost to Follow-up,Part 1 Open Label Epoch- Period 1,FG000,0.1399298199186603,0.9694008970999688,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
691,NCT02963935,Unclassified,Overall Study,FG000,0.1399135797192756,0.9693564862104188,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
692,NCT02678312,Physician Decision,Part 1 Open Label Epoch- Period 1,FG000,0.1399043123915769,0.9693120753208688,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
693,NCT04844918,Adverse Event,Overall Study,FG001,0.1395902093590673,0.9692676644313184,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
694,NCT01709513,Adverse Event,Overall Study,FG000,0.1395612187069643,0.9692232535417684,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
695,NCT02678312,Adverse Event,Part 1 Open Label Epoch- Period 1,FG000,0.1392294620982435,0.9691788426522184,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
696,NCT00308139,Adverse Event,Overall Study,FG000,0.1389809795711705,0.9691344317626682,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
697,NCT00915772,Adverse Event,Overall Study,FG001,0.1389175478179364,0.969090020873118,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
698,NCT04058067,Withdrawal by Subject,Overall Study,FG001,0.1387117064179662,0.969045609983568,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
699,NCT00424047,Withdrawal by Subject,On Study at Time of Unblinding,FG000,0.1385255967203274,0.9690011990940178,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
700,NCT02307513,Adverse Event,Active Treatment Phase (Weeks 13-64),FG001,0.1384034456299404,0.9689567882044676,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
701,NCT00546052,Lost to Follow-up,Overall Study,FG000,0.138279193808621,0.9689123773149176,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
702,NCT02229396,Withdrawal by Subject,Overall Study,FG001,0.1382231453821526,0.9688679664253677,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
703,NCT00064753,Death,Overall Study,FG001,0.1381893699425397,0.9688235555358172,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
704,NCT02017171,Lost to Follow-up,Overall Study,FG000,0.1381582008079662,0.9687791446462672,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
705,NCT01908699,Death,Overall Study,FG001,0.1380381737984126,0.9687347337567171,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
706,NCT03888066,Sponsor Request,Run-in Phase,FG000,0.137988568581516,0.968690322867167,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
707,NCT01908699,Adverse Event,Overall Study,FG001,0.1379140758780653,0.968645911977617,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
708,NCT02866175,Withdrawal by Subject,Overall Study,FG001,0.1376081642573214,0.9686015010880668,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
709,NCT00954447,Adverse Event,Overall Study,FG001,0.1371268680775701,0.9685570901985168,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
710,NCT03354273,Investigational Medicinal Product (IMP) Supply Issues,Overall Study,FG000,0.1368011172191748,0.9684904738641916,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
711,NCT03354273,Screen Failure,Overall Study,FG000,0.1368011172191748,0.9684904738641916,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
712,NCT04915729,Death,Overall Study,FG000,0.1365547055821626,0.9684238575298664,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
713,NCT00306384,Voluntary withdrawal,Overall Study,FG000,0.1357281181046626,0.9683794466403162,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
714,NCT00412984,Withdrawal by Subject,Overall Study,FG001,0.1357056292725396,0.968335035750766,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
715,NCT01335399,Participant request to discontinue,Treatment Period,FG001,0.1349851506804543,0.968290624861216,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
716,NCT00064753,Lost to Follow-up,Overall Study,FG001,0.134544516795486,0.968246213971666,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
717,NCT00489736,Adverse Event,Overall Study,FG001,0.1342021739899702,0.9682018030821158,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
718,NCT01176240,Lack of Efficacy,Study 306B,FG000,0.1339955485720536,0.9681573921925656,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
719,NCT00403767,Adverse Event,Overall Study,FG001,0.1339710393562003,0.9681129813030156,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
720,NCT00558428,Adverse Event,Overall Study,FG001,0.1339533380414591,0.9680685704134654,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
721,NCT02412878,Withdrawal by Subject,Overall Study,FG000,0.1336288157995336,0.9680241595239152,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
722,NCT01176240,Adverse Event,Study 306B,FG001,0.1336093070402084,0.9679797486343652,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
723,NCT02017171,Lost to Follow-up,Overall Study,FG001,0.1333807790380854,0.967935337744815,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
724,NCT02558296,Withdrawal by Subject,Completed the Study,FG000,0.1333360062751785,0.9678909268552648,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
725,NCT03158688,Withdrawal by Subject,Overall Study,FG000,0.1331873905371111,0.9678465159657148,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
726,NCT03735979,Lost to Follow-up,Overall Study,FG001,0.1331080105404463,0.9678021050761648,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
727,NCT04560998,Withdrawal by Subject,Overall Study,FG000,0.1330639997857241,0.9677576941866144,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
728,NCT05352815,Withdrawal by Subject,Overall Study,FG000,0.1329799409081053,0.9677132832970644,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
729,NCT03285594,At the Participant's Own Request,Overall Study,FG002,0.1329198295880259,0.9676688724075144,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
730,NCT00910429,Adverse Event,Overall Study,FG000,0.1326473724298709,0.9676244615179642,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
731,NCT02963935,Adverse Event,Overall Study,FG000,0.1326241538086505,0.967580050628414,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
732,NCT01134393,Withdrawal by Subject,Overall Study,FG000,0.1325024691841666,0.967535639738864,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
733,NCT02586155,Death,Overall Study,FG000,0.1324375881175,0.9674912288493138,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
734,NCT00972283,Unclassified,Main: Week 0 to 52 (NN1250-3582),FG000,0.1322488188142561,0.9674468179597636,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
735,NCT00221104,Withdrawal by Subject,Overall Study,FG001,0.1322179790664186,0.9674024070702136,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
736,NCT01046110,Unclassified,Overall Study,FG000,0.1319353719863195,0.9673579961806636,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
737,NCT02634333,Lost to Follow-up,Overall Study,FG000,0.1318403609942162,0.9673135852911132,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
738,NCT00696384,Withdrawal by Subject,Open Label Phase,FG000,0.1318303472791666,0.9672691744015632,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
739,NCT01102426,Patient Refusal,Overall Study,FG001,0.131732745435139,0.9672247635120133,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
740,NCT00056160,Adverse Event,Up to Unblinding (07 Jun 2005),FG000,0.1314358423847322,0.967180352622463,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
741,NCT03325556,Relapse,Double-blind Period,FG001,0.1314282737348709,0.967135941732913,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
742,NCT00689936,Adverse Event,Active Treatment Phase,FG000,0.1313442692606249,0.9670915308433627,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
743,NCT00915772,Adverse Event,Overall Study,FG000,0.1311495925382043,0.9670471199538128,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
744,NCT00424047,Withdrawal by Subject,Blinded Treatment (Up to 03 Aug 2005),FG000,0.1309700238956304,0.9670027090642626,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
745,NCT00306384,Voluntary withdrawal,Overall Study,FG001,0.130916415520843,0.9669582981747123,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
746,NCT00657150,Withdrawal by Subject,Overall Study,FG001,0.1309084109498115,0.9669138872851624,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
747,NCT05822830,Lost to Follow-up,Overall Study,FG000,0.1308618889915971,0.9668694763956122,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
748,NCT03785405,Death,Overall Study,FG000,0.1307863304993046,0.966825065506062,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
749,NCT00617123,Did Not Meet Protocol Eligibility,Referral Screening Period,FG001,0.1307381171710119,0.966780654616512,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
750,NCT00489541,No 9-Month Angiography Performed,9-Month Angiographic Follow-up,FG000,0.1306435537673367,0.966736243726962,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
751,NCT02916706,Withdrawal by Subject,Overall Study,FG000,0.1305471747883928,0.9666918328374118,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
752,NCT00064753,Lost to Follow-up,Overall Study,FG000,0.1305166578595138,0.9666474219478616,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
753,NCT02104817,Death,Overall Study,FG001,0.1304039621603571,0.9666030110583116,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
754,NCT01178073,Adverse Event,Overall Study,FG000,0.1302853480374008,0.9665586001687614,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
755,NCT03988634,Subject decision,Double-Blind,FG001,0.1300912417038688,0.9665141892792112,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
756,NCT01313676,Decision by Participant or Proxy,Overall Study,FG000,0.130022252070754,0.9664697783896612,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
757,NCT00797862,Adverse Event,Overall Study,FG000,0.1299751382671827,0.966425367500111,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
758,NCT00103506,Study closed by sponsor,Overall Study,FG001,0.129773656132996,0.9663809566105608,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
759,NCT01854918,Withdrawal by Subject,All-IP Period (Years 2 and 3),FG001,0.1297433470870833,0.9663365457210108,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
760,NCT03683030,Enrolled but screen failures,Overall Study,FG000,0.1297051848444445,0.9662921348314608,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
761,NCT03725202,Withdrew consent,Period 1 (Baseline - Week 52),FG002,0.1296972099900296,0.9662477239419106,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
762,NCT01370616,Withdrawal by Subject,Overall Study,FG001,0.1296085290512455,0.9662033130523604,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
763,NCT00359762,Subject Decision,Period II,FG004,0.129560555301012,0.9661589021628104,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
764,NCT00129545,Death,Overall Study,FG002,0.1294466220597717,0.9661144912732602,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
765,NCT01370616,Withdrawal by Subject,Overall Study,FG000,0.129397249830561,0.96607008038371,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
766,NCT00129545,Withdrawal by Subject,Overall Study,FG002,0.1293105911976884,0.96602566949416,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
767,NCT04157751,Withdrawal by Subject,Overall Study,FG001,0.1288511098314365,0.9659812586046098,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
768,NCT03354273,Issues With Performing Invasive Coronary Angiography (ICA),Overall Study,FG000,0.1288145565548889,0.9659368477150596,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
769,NCT00715624,Adverse Event,Overall Study,FG001,0.1287305769020834,0.9658924368255096,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
770,NCT00660179,Death,Overall Study,FG001,0.1285281909641964,0.9658480259359596,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
771,NCT03651765,Lost to Follow-up,Overall Study,FG000,0.1285187516047718,0.9658036150464092,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
772,NCT01623115,Last visit outside protocol visit window,Overall Study,FG001,0.1283384689201488,0.9657592041568592,high,Reinforce site protocol training and participant instruction clarity.,Reinforce site protocol training and participant instruction clarity.,2026-02-06,2026-02-13,,new,,,
773,NCT00614939,Withdrawal by Subject,Overall Study,FG001,0.1282628341100596,0.9657147932673092,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
774,NCT02541383,Death,Overall Study,FG005,0.1279252689479464,0.965670382377759,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
775,NCT02769481,Withdrawal by Subject,Overall Study,FG001,0.1278671988314583,0.965625971488209,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
776,NCT01046110,Unclassified,Overall Study,FG001,0.1277223701622619,0.9655815605986589,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
777,NCT00385697,Adverse Event,Double-blind Segment 2,FG001,0.1276806433200794,0.9655371497091086,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
778,NCT00159861,Death,Extension Study - up to 3 Years,FG001,0.1276030952391269,0.9654927388195584,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
779,NCT03211858,Other than specified above,Overall Study,FG000,0.1272316968918056,0.9654483279300085,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
780,NCT01131676,Adverse Event,Discontinuation From Treatment,FG002,0.1265596239732837,0.9654039170404584,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
781,NCT02307513,Lack of Efficacy,Placebo Controlled Phase (Weeks 0-12),FG000,0.1265043008925893,0.9653595061509082,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
782,NCT01406717,Withdrawal by Subject,Overall Study,FG000,0.1262969637949999,0.965315095261358,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
783,NCT01680341,Unclassified,Overall Study,FG000,0.1260693548927182,0.965270684371808,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
784,NCT00680186,Adverse Event,Overall Study,FG001,0.126039355255387,0.965226273482258,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
785,NCT01131676,Adverse Event,Discontinuation From Treatment,FG001,0.1259533072571528,0.9651818625927078,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
786,NCT00412984,Withdrawal by Subject,Overall Study,FG000,0.1259458561555457,0.9651374517031576,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
787,NCT00424047,Adverse Event,On Study at Time of Unblinding,FG000,0.1258794326706006,0.9650930408136076,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
788,NCT01272219,Adverse Event,Main Period: Week 0 to Week 56,FG004,0.1257755313087599,0.9650486299240574,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
789,NCT03952143,Withdrawal by Subject,Lead-In Period,FG000,0.1254687338567063,0.9650042190345072,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
790,NCT00695955,Lost to Follow-up,Cohort 1,FG000,0.1254429681580015,0.9649598081449572,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
791,NCT00838903,Withdrawal by Subject,Treatment Period (156 Weeks),FG002,0.1253632523297123,0.964915397255407,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
792,NCT03158688,Decision by sponsor,Overall Study,FG000,0.1253310185051379,0.9648709863658568,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
793,NCT01885208,Unclassified,Overall Study,FG001,0.1252819386500298,0.9648265754763068,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
794,NCT00249873,Withdrawal by Subject,Overall Study,FG000,0.125266352098373,0.9647821645867568,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
795,NCT00330759,Disease progression,Overall Study,FG000,0.1251837491612896,0.9647377536972066,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
796,NCT02513303,Withdrawal by Subject,Overall Study,FG000,0.1249787378786408,0.9646933428076564,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
797,NCT00283686,Lost to Follow-up,Overall Study,FG001,0.1246764180549259,0.9646489319181064,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
798,NCT00232180,Withdrawal by Subject,Double-blind (DB) Phase,FG001,0.1245629120730058,0.9646045210285562,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
799,NCT00614939,Study specific discontinuation criteris,Overall Study,FG001,0.1243556625261609,0.964560110139006,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
800,NCT03481634,Withdrawal by Subject,Overall Study,FG000,0.124009338800744,0.964515699249456,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
801,NCT00838903,Withdrawal by Subject,Treatment Period (156 Weeks),FG001,0.1237141669576784,0.9644712883599058,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
802,NCT01603615,Lost to Follow-up,Overall Study,FG000,0.1237004941924801,0.9644268774703556,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
803,NCT03180736,Death,Overall Study,FG001,0.1236942566362797,0.9643824665808056,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
804,NCT03180736,Physician Decision,Overall Study,FG001,0.123681648794613,0.9643380556912556,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
